country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,1,,,,1,,,9,,,,,3,2,2,2,2,2,,,3,,4,4,13
Algeria,1,8,18,24,7,,,,,2,,,,,,,,,,,,,,,,,
Angola,1,3,1,1,1,,1,,,,,,,,,,,,2,,,,,,,,
Argentina,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
Azerbaijan,1,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
Bangladesh,,,,,1,,1,,2,1,2,,3,2,,,,,,,1,1,1,5,,1,
Belarus,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
Bolivia,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
Bosnia and Herzegovina,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,1,4,,1,2,,1,,2,2,2,1,,1,,,1,3,4,4,3,6,1,1,2
Burkina Faso,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Burundi,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,3,,1,2,,,,,,1,,,,,1,,,,1,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Canada,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,1,,,,3
China,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Colombia,1,4,1,3,1,4,4,5,3,3,3,5,1,2,2,,,1,1,,1,1,,2,,1,2
"Congo, Dem. Rep.",,,2,,,,,,,,,,,,,1,,,,,,,1,1,,,
"Congo, Rep.",,,,,,,1,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,
Croatia,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,
Cyprus,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Dominican Republic,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,
Ecuador,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Egypt,1,,,,,,,,,,,,,,,,,,,2,1,7,1,,,,
El Salvador,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,
Eritrea,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Ethiopia,,,,,,,1,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,9,,,
Gambia,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
Georgia,,3,,,,,1,,,1,,,,,,,3,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Greece,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Guatemala,,,1,,,1,,,1,1,,1,,,,,,,,,,,,1,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Haiti,,,,,,,,,1,1,,,1,1,,1,,,,,,,,,,,
Honduras,,1,,,,,,,,,,,,,,1,,,3,,,,,,,,
India,2,2,1,1,2,7,,,1,1,1,1,2,,1,,4,1,1,2,2,4,2,1,2,4,5
Indonesia,,,,,1,2,,,,,,1,,,1,,,1,3,,1,,,,,,
Iran,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,
Iraq,,,1,,,,,,,,,14,24,23,32,32,11,4,5,5,,10,5,6,6,8,
Ireland,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Latvia,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Lebanon,2,1,,,,,,1,,,,,,2,1,,,,1,,1,,,,,,
Libya,,,,,,,,,,,,,,1,,,,,,5,,1,1,1,3,,1
Lithuania,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Mali,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Mexico,,,1,1,,3,2,,,1,,,3,1,2,2,2,3,3,3,2,,2,4,2,6,4
Montenegro,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Mozambique,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,2,,,,,,,,1,,,,,,,1,,1,,
Nepal,,,,,,,,,,,1,2,1,1,,2,,1,,,,,,,,,
Nicaragua,,,,,,,,,,,,,2,,,,,,,,,,,,,,1
Nigeria,,,,,,,2,3,,,,,,,,,,1,2,1,1,,,,,,
Pakistan,,,2,,,1,,,1,,2,1,1,2,2,5,5,4,8,7,7,5,3,1,2,1,1
Panama,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Papua New Guinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,1,,,,,,1,,,,,,,3,,,,
Peru,3,1,,,,,,,,,,,2,,,1,,,,1,,,,,,,
Philippines,2,1,,,1,1,1,,2,2,2,5,8,4,4,,2,33,2,2,1,3,1,,1,2,
Poland,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Russia,,8,3,8,6,,2,3,3,1,3,2,2,2,3,1,2,3,,1,1,2,,,,2,
Rwanda,,,15,,,,1,,,,,,,,,,,,1,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Serbia,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sierra Leone,,,,,,1,1,10,3,,,,,1,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Somalia,,5,3,1,,,,,1,,,1,,2,1,7,2,9,2,2,12,4,4,3,3,2,2
South Africa,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,5,,1,
Spain,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,2,1,,,,3,2,1,5,2,3,,,,,,,,,
Sudan,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,2,31,29,17,14,15,9,9
Tajikistan,9,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Thailand,,,,,,,1,,,2,,,,,,,3,,2,1,1,,,,,,
Timor-Leste,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Turkey,9,4,2,1,1,,,1,,,,,,,,1,,1,,,,,,3,2,,
Turkmenistan,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Uganda,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
Ukraine,,,,1,1,1,,,1,1,,,,,,,,,,,,,5,1,1,,
United Kingdom,,,,,,,,,,1,,,,,,,,,,,,,,,,,
United States,1,1,,,,,,,,2,,,,,,1,,,,,,,,2,,,4
Uruguay,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Venezuela,1,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,1,2,,,1,5,6,2,3
Zimbabwe,,,,,,,,,,,,,,,,1,,,,,,,,,,,
